Reporting Period	ID RSSD	UBPR2221	UBPR3128	UBPR3792	UBPR5306	UBPR5310	UBPR5320	UBPR5340	UBPR5610	UBPR8275	UBPRA222	UBPRB594	UBPRB595	UBPRD654	UBPRE642	UBPRE643	UBPRE644	UBPRE645	UBPRE646	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE659	UBPRE660	UBPRF264	UBPRF859	UBPRF860	
		UNREALIZED GAINS ON A-F-S EQUITY SEC	ALLOCATED TRANSFER RISK RESERVES	TOTAL RISK-BASED CAPITAL	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 2 CPTL ALLWBL UNDR RISK-BASED	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	RWA_OBS_20	EQ_CAP_TOT_ADJ	INTG_INEL	CAP_T1_TOT	RBC_TOT_DED_F	CAP_T3_TOT_LRG	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	ASET_MKT_RSK_LRG	RWA_ADJ_F	CUMULATIVE CHANGE IN FAIR VALUE	CUMULATIVE PREFERRED STOCK	CATEGORY THREE 50 PCT	
3/31/2011 11:59:59 PM	37	0	0	17582	0	570	2119	23205	0	570	444	0	0	5956	17012	0	17012	17582	0	45466	0	0	155	155	0	45621	0	45177	0	0	16305	
3/31/2011 11:59:59 PM	242	0	0	4431	0	171	0	35147	0	171	0	0	0	0	4260	0	4260	4431	0	35147	0	0	10	10	0	35157	0	35157	0	0	0	
3/31/2011 11:59:59 PM	279	0	0	23426	0	444	2120	37528	0	444	0	0	0	10209	22986	4	22982	23426	0	78044	0	0	0	0	0	78044	0	78045	0	0	30308	
3/31/2011 11:59:59 PM	354	0	0	971	0	63	108	3014	79	63	126	0	0	1221	987	0	908	971	0	5002	0	0	0	0	0	5002	0	4876	0	0	767	
3/31/2011 11:59:59 PM	457	0	0	3797	0	402	305	27032	0	402	13	0	0	617	3395	0	3395	3797	0	30713	0	0	1438	1438	0	32151	0	32138	0	0	3064	
3/31/2011 11:59:59 PM	505	0	0	32475	0	2734	78485	128869	0	2734	2000	0	0	16560	30830	1089	29741	32475	0	204761	0	688	13285	13973	0	218733	0	216734	0	0	59332	
3/31/2011 11:59:59 PM	1155	0	0	19532	0	1959	3629	133411	0	1959	552	0	0	10061	17573	0	17573	19532	0	154140	0	0	2614	2614	0	156754	0	156202	0	0	10668	
3/31/2011 11:59:59 PM	1351	0	0	22086	0	1186	1261	70752	0	1186	0	0	0	12298	20900	0	20900	22086	0	95017	0	0	2662	2662	0	97679	0	97679	0	0	11967	
3/31/2011 11:59:59 PM	1454	3	0	51426	0	3025	67248	147759	0	3028	540	0	0	40300	48398	0	48398	51426	0	234076	7811	0	115	7926	0	242002	0	241462	0	0	46017	
3/31/2011 11:59:59 PM	1557	0	0	5823	0	481	279	33242	0	481	0	0	0	4512	5342	0	5342	5823	0	39437	0	0	274	274	0	39711	0	39712	0	0	1684	
3/31/2011 11:59:59 PM	1669	0	0	42949	0	1398	29465	69525	0	1398	1220	0	0	20843	42372	821	41551	42949	0	111838	0	0	30	30	0	111868	0	110648	0	0	21470	
3/31/2011 11:59:59 PM	1829	0	0	35117	0	2985	55194	170959	0	2985	818	0	0	16057	40725	8593	32132	35117	0	236694	0	0	2137	2137	0	238831	0	238013	0	0	49678	
3/31/2011 11:59:59 PM	1856	0	0	21016	0	628	33107	33355	0	628	0	0	0	18269	20486	98	20388	21016	0	55045	0	0	0	0	0	55045	0	55045	0	0	3421	
3/31/2011 11:59:59 PM	2040	0	0	21987	0	1960	1775	126626	0	1960	1262	0	0	6248	20027	0	20027	21987	0	157710	0	0	668	668	0	158378	0	157116	0	0	24836	
3/31/2011 11:59:59 PM	2161	0	0	13736	0	593	1082	36283	0	593	0	0	0	12395	13143	0	13143	13736	0	62968	0	0	0	0	18	62968	0	62968	0	0	14290	
3/31/2011 11:59:59 PM	2376	0	0	431233	0	22764	12220	1564959	0	22764	1566	0	0	155446	408469	0	408469	431233	0	1820836	0	0	305	305	0	1821141	0	1819576	0	0	100432	
3/31/2011 11:59:59 PM	2554	0	0	918	0	80	0	4797	0	80	0	0	0	998	1127	289	838	918	0	6361	0	0	0	0	0	6361	0	6361	0	0	566	
3/31/2011 11:59:59 PM	2732	0	0	77162	0	4684	45294	322563	0	4684	789	0	0	18245	73590	1112	72478	77162	0	371984	0	0	2721	2721	0	374705	0	373916	0	0	31176	
3/31/2011 11:59:59 PM	2750	0	0	5961	0	508	3842	35373	0	508	154	0	0	2886	5453	0	5453	5961	0	40469	0	0	158	158	0	40627	0	40473	0	0	2210	
