Reporting Period	ID RSSD	UBPR3128	UBPR5320	UBPR5340	UBPR8764	UBPRA222	UBPRD654	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE660	UBPRF860	UBPRH300	UBPRH399	UBPRH400	UBPRH401	UBPRH402	UBPRH403	UBPRH404	UBPRH405	UBPRH406	UBPRH407	UBPRH408	UBPRH409	UBPRHR46	UBPRHR47	UBPRS497	UBPRS498	UBPRS499	UBPRS503	UBPRS504	UBPRS505	UBPRS506	UBPRS507	UBPRS510	UBPRS569	UBPRS570	UBPRS571	UBPRS577	UBPRS578	UBPRS581	
		ALLOCATED TRANSFER RISK RESERVES	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	NET CURRENT CREDIT EXPOSURE	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	RWA_OBS_20	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	RWA_ADJ_F	CATEGORY THREE 50 PCT	EF FUND CONTRBTNS CNTRL CNTRPRTIES	TOTAL BS RWA SCTY EXP SSFA	TOT BS RWA SCTY EXP GROSS UP	RWA OFF BS OTHR	OTC CONTRACTS INTEREST RATE	OTC CONTRACTS ALL OTHER	CENTRALLY CLEARED CONTRACTS INT RT	CENTRALLY CLEARED CONTRACTS ALL OTHR	RWA OBS 150PCT	RWA OBS 1250PCT	UBPR RPT OTC CNTS TOT	CENTRALLY CLEARED CONTRACTS TOTAL	TOT BAL SH ASSET 2 PCT RW CAT	TOT BAL SH ASSET 4 PCT RW CAT	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	TOTAL BALANCE SHEET ASSETS - 2 WEIGH	TOTAL BALANCE SHEET ASSETS - 3 WEIGH	TOTAL BALANCE SHEET ASSETS - 4 WEIGH	TOTAL BALANCE SHEET ASSETS - 6 WEIGH	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	STANDARDIZED MARISK CAPITAL RULE	
3/31/2014 11:59:59 PM	37	0	1116	18805	0	380	5820	43501	0	0	15	15	0	43516	43136	18876																													0	
3/31/2014 11:59:59 PM	242	0	0	41303	0	0	0	41303	0	0	15	15	0	41318	41318	0																													0	
3/31/2014 11:59:59 PM	279	0	804	42543	0	0	6610	93936	0	0	0	0	0	93936	93936	44783																													0	
3/31/2014 11:59:59 PM	354	0	59	2450	0	129	1315	4560	0	0	0	0	0	4560	4432	796																													0	
3/31/2014 11:59:59 PM	457	0	159	30082	0	7	1223	35064	0	0	805	805	0	35869	35862	3759																													0	
3/31/2014 11:59:59 PM	505	0	63462	149924	0	977	14295	233954	0	1258	26883	28141	0	262095	261119	69736																													0	
3/31/2014 11:59:59 PM	1155	0	6304	131166	0	505	12535	156816	0	0	337	337	0	157153	156648	13115																													0	
3/31/2014 11:59:59 PM	1351	0	1503	77554	0	65	11144	102913	0	0	2557	2557	0	105470	105405	14215																													0	
3/31/2014 11:59:59 PM	1454	0	87208	158711	0	0	63816	277590	17873	1917	105	19895	0	297485	297485	55064																													0	
