Reporting Period	ID RSSD	UBPRE304	UBPRE305	UBPRE306	UBPRE307	UBPRE308	UBPRE309	UBPRE310	UBPRE311	UBPRE312	UBPRE313	UBPRE314	UBPRE315	UBPRE316	UBPRE317	UBPRE318	UBPRE319	UBPRE320	UBPRE321	UBPRE322	UBPRE323	UBPRE324	UBPRE325	UBPRE326	UBPRE327	UBPRE328	UBPRE329	UBPRE330	UBPRE331	UBPRE332	UBPRE333	UBPRE334	UBPRE335	UBPRE336	UBPRE337	UBPRE338	UBPRE339	UBPRE341	UBPRE342	UBPRE343	UBPRE344	UBPRHP05	UBPRHP06	UBPRHP07	
		CNTRC_INTRTE_TDER	CNTRC_FGEX_TDER	CNTRC_EQOT_TDER	CNTRC_FUTFWD_TDER	CNTRC_TOT_WO_TDER	CNTRC_EXTR_WO_TDER	CNTRC_OTC_WO_TDER	CNTRC_TOT_PO_TDER	CNTRC_EXTR_PO_TDER	CNTRC_OTC_PO_TDER	CNTRC_TOTSWAP_TDER	CNTRC_TOT_HFT_TDER	CNTRC_INRTHFT_TDER	CNTRC_FGEXHFT_TDER	CNTRC_EQCMHFT_TDER	CNTRC_TOT_NTR_TDER	CNTRC_INRTNTR_TDER	CNTRC_FGEXNTR_TDER	CNTRC_EQCMNTR_TDER	CNTRC_MTMNTR_TDER	CNTRC_RBC_TOT_TDER	CNTRC_LT1YRBC_TDER	CNTRC_1T5YRBC_TDER	CNTRC_OV5YRBC_TDER	CNTRC_NEGTOT_TDN34	CNTRC_POTOT_TDN034	CNTRC_NEGTOT_TIN34	CNTRC_POTOT_T1N034	CNTRC_TOT_HFT_T1	CNTRC_TOT_NTR_T1	CNTRC_MTM_NTR_T1	CR_EXPO_DER_T1	CNTRC_CR_LOS_T1LRG	CNTRC_90PDBV_T1LRG	CR_EXPO_DER_RWADJ	CNTRC_CRLOS_RESLRG	INT_IMPCT_INCNTN34	EXP_IMPCT_INCNTN34	NON_IMPCT_INCNTN34	NET_CHGNT_INCNTN34	NINT RT DRV CNT PCT TOT	HLD TRD NINT RT DRV CNT PCT TOT	NTRD NINT RT DRV CNT PCT TOT	
3/31/2014 11:59:59 PM	37																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	242																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	279																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	354																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	457																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	505																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	1155	100	0	0	0	100	0	100	0	0	0	0	0	0	0	0	100	100	0	0	100	0	0	0	0	0	0	0	0	0	0.04	0.04	0			0						0	0	0	
3/31/2014 11:59:59 PM	1351																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	1454	100	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	100	100	100	0	0	0	1.68	0	0	0	0.01	0.01	0	0	0	0	0					0	0	0	
3/31/2014 11:59:59 PM	1557																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	1669																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	1829																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	1856																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	2040																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	2161																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	2376	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	100	100	0	0	100	100	0	0	100	0	3.15	0	0.01	0	0.17	0.17	0.01	0	0	0.09	0					0	0	0	
3/31/2014 11:59:59 PM	2554																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	2732																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	2750																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	3177																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	3252																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	3458																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	3720	100	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	100	100	100	0	0	0	2.5	0	0	0	0	0	0			0						0	0	0	
3/31/2014 11:59:59 PM	3971																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	4156																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	4231																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	4437																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	4839																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	5069																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	5135																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	5210																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	5461																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	5751																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	6039																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	6141																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	6329																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	7009	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	100	100	0	0	100	100	0	100	0	0	1.16	0	0	0	0.09	0.09	0	0	0	0.02						0	0	0	
3/31/2014 11:59:59 PM	7045																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	7072																											0	0	0	0	0	0			0									
