Reporting Period	ID RSSD	UBPR3632	UBPR3792	UBPR5310	UBPR5311	UBPR8274	UBPR8275	UBPRH392	UBPRH393	UBPRH394	UBPRH395	UBPRH396	UBPRH397	UBPRH398	UBPRP742	UBPRP839	UBPRP840	UBPRP841	UBPRP842	UBPRP843	UBPRP849	UBPRP851	UBPRP852	UBPRP856	UBPRP857	UBPRP858	UBPRP859	UBPRP860	UBPRP861	UBPRP862	UBPRP863	UBPRP864	UBPRP865	UBPRP866	UBPRP867	UBPRP868	UBPRP870	UBPRP872	UBPRQ257	
		UNDIVIDED PROFITS & CAPITAL RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	ADV AP ACC COMP INC	ADV AP RELATED ADJ	ADV AP ELIG CR RESERVE	ADV AP TIER 2 CAP B4 DED	ADV AP EXIT INS TOT CAP	UBPR OTHR DED CET1	SIG INV MSA DF TX ASSET PCT LIMIT	COMMON EQUITY TIER 1 CAPITAL	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NET GNS (LSSES) HTM SEC AOCI	NNSG INVCP UNCNS COMSTK 10 PCT THRSH	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	MSA DTA 15PCT COMEQTY TIER1 CAPTHRES	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	UNREALIZED GAINS ON A-F-S EQUITY SEC	
3/31/2015 11:59:59 PM	37	14195	19139	428		18711	428	783	783				184	0	4700	0	19678	0	0	0		0	18711	0	0	0	18711	0	0	0	0	0	0	0	0	0	428	0	0	
3/31/2015 11:59:59 PM	242	4717	5146	189		4957	189	253	253				0	0	240	0	5210	0	0	0		0	4957	0	0	0	4957	0	0	0	0	0	0	0	0	0	189	0	0	
3/31/2015 11:59:59 PM	279	26896	27619	722		26897	722	160	160				0	0	1	0	27057	0	0	0		0	26897	0	0	0	26897	0	0	0	0	0	0	0	0	0	722	0	0	
3/31/2015 11:59:59 PM	354	511	1058	47		1011	47	-23	-23				0	0	525	0	1013	0	0	25		0	1011	0	0	0	1011	0	0	0	0	15	0	0	0	0	47	0	0	
3/31/2015 11:59:59 PM	457	742	4694	452		4242	452	1	1				0	0	3500	0	4243	0	0	0		0	4242	0	0	0	4242	0	0	0	0	0	0	0	0	0	452	0	0	
3/31/2015 11:59:59 PM	505	19267	38651	3206		35445	3206	-1771	-1771				0	0	17133	0	34629	978	0	0		0	35422	0	0	0	35422	0	0	23	23	0	23	0	0	0	3206	0	0	
3/31/2015 11:59:59 PM	1155	12386	20952	2066		18886	2066	365	365				0	0	6500	0	19251	0	0	0		0	18886	0	0	0	18886	0	0	0	0	0	0	0	0	0	2066	0	0	
3/31/2015 11:59:59 PM	1351	22762	24095	1336		22759	1336	0	3				0	0	0	0	22762	0	0	0		0	22759	0	0	0	22759	0	0	0	0	0	0	0	0	0	1336	0	0	
3/31/2015 11:59:59 PM	1454	68712	73779	2844		70926	2853	4011	4011				0	0	2214	0	74937	0	0	0		0	70926	0	0	0	70926	0	0	0	0	0	0	0	0	0	2853	0	9	
3/31/2015 11:59:59 PM	1557	1057	10786	451		10681	105	-15	-15				0	0	9824	0	10866	70	130	0		0	10681	0	0	0	10681	0	0	0	0	0	0	0	0	0	451	346	0	
3/31/2015 11:59:59 PM	1669	43127	45984	1304		44680	1304	366	366				0	0	1600	0	45093	0	47	0		0	44680	0	0	0	44680	0	0	0	0	0	0	0	0	0	1304	0	0	
3/31/2015 11:59:59 PM	1829	41779	40697	3572		37125	3572	1836	1836				0	0	3490	0	47105	8144	0	0		0	37125	0	0	0	37125	0	0	0	0	0	0	0	0	0	3572	0	0	
3/31/2015 11:59:59 PM	1856	1530	16947	733		16214	733	-167	-167				0	0	14782	0	16145	98	0	0		0	16214	0	0	0	16214	0	0	0	0	0	0	0	0	0	733	0	0	
3/31/2015 11:59:59 PM	2040	16957	22229	1862		20367	1862	261	261				0	0	4750	0	21968	0	0	536		0	21171	0	804	804	20367	0	0	0	0	804	0	0	0	0	1862	0	0	
3/31/2015 11:59:59 PM	2161	13008	16121	757		15364	757	536	536				0	0	2356	0	15900	0	0	0		0	15364	0	0	0	15364	0	0	0	0	0	0	0	0	0	757	0	0	
3/31/2015 11:59:59 PM	2376	430423	484207	30639		453568	30639	-2400	-2400				0	0	23145	0	451168	0	0	0		0	453568	0	0	0	453568	0	0	0	0	0	0	0	0	0	30639	0	0	
3/31/2015 11:59:59 PM	2554	257	1089	96		993	96	34	34				0	0	1025	0	1316	289	0	0		0	993	0	0	0	993	0	0	0	0	0	0	0	0	0	96	0	0	
3/31/2015 11:59:59 PM	2732	75825	85039	3870		81169	3870	297	297				0	0	5789	0	81911	0	445	0		0	81169	0	0	0	81169	0	0	0	0	0	0	0	0	0	3870	0	0	
3/31/2015 11:59:59 PM	2750	977	6824	602		6222	602	0	76				0	0	5321	0	6298	0	0	0		0	6222	0	0	0	6222	0	0	0	0	0	0	0	0	0	602	0	0	
3/31/2015 11:59:59 PM	3177	45927	104019	3384		100625	3394	-757	-757				0	0	59533	0	104703	4630	205	0		0	100625	0	0	0	100625	0	0	0	0	0	0	0	0	0	3394	0	10	
3/31/2015 11:59:59 PM	3252	21770	23561	1291		22270	1291	709	709				0	0	500	0	22979	0	0	0		0	22270	0	0	0	22270	0	0	0	0	0	0	0	0	0	1291	0	0	
3/31/2015 11:59:59 PM	3458	2593	4136	342		3794	342	33	33				0	0	1201	0	3827	0	0	0		0	3794	0	0	0	3794	0	0	0	0	0	0	0	0	0	342	0	0	
3/31/2015 11:59:59 PM	3720	11188	33889	1701		32188	1701	226	226				0	0	21000	0	32414	0	0	0		0	32188	0	0	0	32188	0	0	0	0	0	0	0	0	0	1701	0	0	
3/31/2015 11:59:59 PM	3971	-67767	105935	7571		98353	7582	690	690				8	0	176278	0	109201	9715	198	95		0	98495	0	142	142	98353	0	0	0	0	142	0	0	0	0	7582	0	11	
3/31/2015 11:59:59 PM	4156	14662	22695	1959		20736	1959	181	181				0	0	7857	0	22700	1783	0	0		0	20736	0	0	0	20736	0	0	0	0	0	0	0	0	0	1959	0	0	
3/31/2015 11:59:59 PM	4231	2786	16122	736		15386	736	-136	-136				0	0	12600	0	15250	0	0	0		0	15386	0	0	0	15386	0	0	0	0	0	0	0	0	0	736	0	0	
3/31/2015 11:59:59 PM	4437	23363	29307	1955		27352	1955	820	820				0	0	4713	0	28896	0	0	724		0	27352	0	0	0	27352	0	0	0	0	0	0	0	0	0	1955	0	0	
3/31/2015 11:59:59 PM	4839	20462	40442	3265		37177	3265	458	458				0	0	16715	0	37635	0	0	0		0	37177	0	0	0	37177	0	0	0	0	0	0	0	0	0	3265	0	0	
3/31/2015 11:59:59 PM	5069	159097	172013	4148		167581	4432	3985	4130				0	0	8629	0	171711	0	0	0		0	167581	0	0	0	167581	0	0	0	0	0	0	0	0	0	4432	0	284	
