Reporting Period	ID RSSD	UBPRE553	UBPRE554	UBPRE555	UBPRE556	UBPRE557	UBPRE558	UBPRE559	UBPRE560	UBPRE561	UBPRE562	UBPRE563	UBPRE564	UBPRE565	UBPRE566	UBPRE567	UBPRE568	UBPRE569	UBPRE570	UBPRE571	UBPRE572	UBPRE573	UBPRE574	UBPRE575	UBPRE576	UBPRE577	UBPRE578	UBPRE579	UBPRE580	UBPRE581	
		LN_SMFAM_PT_TOT_A	LN_SMFAM_PT_O15_A	LN_SMFAM_PT_515_A	LNLS_SEC_OTH_TOT_A	LNLS_SEC_OTH_O15_A	LNLS_SEC_OTH_515_A	LNLS_SEC_PT_O15_A	MBS_TOT_OTH_A	MBS_OTH_O3Y_A	NOTES_STRU_AMRT_A	MTG_FV_A	INT_RT_TOT_OTH_A	SEC_AFS_FV_A	SEC_HTM_BV_A	OFBS_TOT_A	SEC_APDP_URL_HTM_A	SEC_APDP_HRM_T1CAP	LN_SEC_CMO_RP_O3A	DEP_LB_OTH_RP_O3_A	RPRC_NET_3YR_AA	LN_SEC_CMO_RP_O1A	DEP_LB_OTH_RP_O1_A	RPRC_NET_1YR_A	DEP_NMAT_TOT_A	DEP_NMAT_TOT_LA	DEP_NMAT_NET_LA_A	NOTES_STRU_T1CAP	MTG_FV_T1CAP	INT_RT_OTH_T1CAP	
3/31/2015 11:59:59 PM	37	28.79	6.51	8.46	59.92	10.51	28.55	17.02	0	0	8.29	0	8.29	53.5	0	1.4	0	0	64.61	6.1	58.51	80.1	17.89	62.21	40.31	62.39	24.3	39.49	0	39.49	
3/31/2015 11:59:59 PM	242	20.91	0.28	2.58	71.15	0.19	17.25	0.48	0	0	3.29	0	3.29	31.02	0	6.38	0	0	43.77	3.47	40.3	57.19	14.55	42.63	53.57	122.39	-9.8	26.93	0	26.93	
3/31/2015 11:59:59 PM	279	59.37	24.59	31.64	30.27	2.13	17.09	26.72	0	0	0	0.02	0.02	4.51	16.21	5.17	0.43	3	80.86	6.53	74.34	83.58	19.68	63.9	34.74	42.97	46.12	0	0.12	0.12	
3/31/2015 11:59:59 PM	354	18.97	3.25	13.7	71.97	0	42.97	3.25	0	0	0	0	0	61.97	0	1.09	0	0	74.62	0	74.62	77.86	0	77.86	62.76	84.11	11.85	0	0	0	
3/31/2015 11:59:59 PM	457	16.77	0	0.12	72.19	1.43	1.89	1.43	0	0	0	0	0	0.69	0.39	12	0.01	0.12	22.13	1.68	20.45	50.09	6.98	43.11	61.09	276.08	-38.96	0	0	0	
3/31/2015 11:59:59 PM	505	34.96	17.31	13.49	43.84	1.19	11.93	18.5	0.16	0.16	0	0.03	0.03	18.2	0	29.97	0	0	54.97	0.36	54.61	64.89	3.74	61.16	78.01	141.92	-23.04	0	0.39	0.39	
3/31/2015 11:59:59 PM	1155	11.69	0.21	0.85	70.52	0	13.82	0.21	0	0	0	0	0	14.45	0.03	14.6	0	0.01	40.64	1.03	39.61	54.49	4.56	49.93	57.82	142.28	-17.18	0	0	0	
3/31/2015 11:59:59 PM	1351	12.3	0.35	1.07	79.39	0.16	31.22	0.5	0.44	0	16.92	0	16.92	1.72	43.78	3.03	0.27	1.9	44.11	0	44.11	53.17	11.64	41.54	35.4	80.26	8.71	118.55	0	118.55	
3/31/2015 11:59:59 PM	1454	12.76	3.59	8.23	68.75	4.82	29.13	8.41	0.03	0	8.61	0	8.61	47.83	0	12.15	0	0	60.14	0.95	59.19	74.48	2.77	71.71	75.03	124.76	-14.89	88.68	0	88.68	
