Reporting Period	ID RSSD	UBPR1795	UBPR3123	UBPR4635	UBPRC233	UBPRD582	UBPRE006	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE386	UBPRE388	UBPRE390	UBPRE391	UBPRE395	UBPRE397	UBPRE398	UBPRE399	UBPRE400	UBPRE401	UBPRE402	UBPRE404	UBPRE405	UBPRE406	UBPRE407	UBPRE408	UBPRE409	UBPRE410	UBPRE411	UBPRE412	UBPRE413	UBPRE543	UBPRE586	UBPRE587	UBPRE594	UBPRFB60	UBPRFB61	UBPRFB64	UBPRFB66	UBPRFB69	UBPRFB70	
		NET LN&LEASE LOSSES(CHG-OFFS LESS RE	ALLL_AMT	LOSSES CHARGED TO RESERVE	ADJUSTMENTS	LNLS_HFS_WR_DN	PROV_LNLS_ATTR_AA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_CYA	LNLS_RCOV_PREV	LNLS_GRS_LOS_AVG	LNLS_RCOV_CYA_LNLS	LNLS_ALWNC_NACCR	LN_RE_LOS_AVG	ANLR_LN_RE_CML	ANLR_LN_CNSTRC_DV	ANLR_LN_FMLND	ANLR_FAM_LN_RE	ANLR_FAM_LN_LNE	ANLR_LN_FAM_MULT	ANLR_NFARM_NRSD	ANLR_LN_RE_FGN	ANLR_LN_AG	LN_CI_LOS_AVG	ANLR_LS_FIN	LN_LOS_IND_AVG	ANLR_LN_CRCD	LNLS_OTH_LOS_AVG	ANLR_LN_FDN_GOVT	ANLR_CNSTRC_1T4FAM	ANLR_CNSTRC_LAND	ANLR_NFRM_OWNR_OCC	ANLR_NFRM_NRES_OTH	NET LOSS % 1-4 FAM 1ST LIEN LN	NET LOSS % 1-4 FAM JR LIEN LN	NET LOSS % AUTO LN	NET LOSS % FIN INST LN	NET LOSS % LS IND	NET LOSS % OTHR LS	
3/31/2016 11:59:59 PM	37	-1	1013	0	0	0	0.07	-0.01			3.55	3.55	29130	4.44	0	0.01	5.09	0		0	0	0		0	0			0		-0.08		0		0	0	0	0	0	0	-0.14				
3/31/2016 11:59:59 PM	242	3	168	3	0	0	0	0.05	45.33	14	0.68	0.68	25462	0	0.05	0	8.84	0			0	0			0		0	0		0.44		0					0	0	0	0				
3/31/2016 11:59:59 PM	279	-39	932	0	0	0	0	-0.1			0.63	0.63	150176	140.54	0	0.1	6.8	0		0	0	0	0	0	0			-0.53		-3.77		0		0	0	0	0	0	0	0				
3/31/2016 11:59:59 PM	354	-1	188	0	-1	0	0	-0.12			5.24	5.24	3282		0	0.12	1.88	0		0	0	0			0		0	0		-0.54		0		0		0	0	0		-0.74				
3/31/2016 11:59:59 PM	457	-1	493	0	0	0	0	-0.01			1.24	1.24	39429	66.67	0	0.01	0.87	0		0	0	0	0	0	0		0	0		-0.15		0		0	0	0	0	0	0	0				
3/31/2016 11:59:59 PM	505	136	4082	147	0	0	0.03	0.19	6.25	7.5	1.37	1.37	292744	30.99	0.2	0.02	0.83	0.02	0	0		0.03	0	0	0			2.46		-0.19		0		0	0	0	0	0.04	0	-0.96				
3/31/2016 11:59:59 PM	1155	0	2435	13	0	0	0.29	0			1.67	1.67	144483	8.18	0.04	0.04	2.76	-0.04		0	0	-0.03	0	0	-0.08		0	0		0.15	1.63	0.45		0	0	-0.05	-0.14	-0.03	0	0				
3/31/2016 11:59:59 PM	1351	8	1352	14	0	0	0.16	0.04	94.62	42.25	1.65	1.65	82034	4.93	0.07	0.03	0.42	0		0	0	0			0		0	0.18		0.04		0		0	0	0		0		0.18				
3/31/2016 11:59:59 PM	1454	99	3385	107	0	0	0.15	0.16	26.09	8.55	1.33	1.33	254635	16.16	0.17	0.01	15.04	0	0	0	0	0	0	0	0		0	1.24	0	0.05		87.5		0	0	0	0	0	0	-0.06			0	
3/31/2016 11:59:59 PM	1557	27	685	35	0	0	0.19	0.18	16.26	6.34	1.23	1.23	58878	213.33	0.24	0.05		0.4		0	0	1.16			0		0	0		0.91		0		0		0	0	1.16		2.08				
3/31/2016 11:59:59 PM	1669	14	2934	28	0	0	0.02	0.06	60.5	52.39	3.02	3.02	96355	35.44	0.12	0.06	8.41	0		0	0	0		0	0			0	0	0.54		0		0	0	0	0	0	0	0				
3/31/2016 11:59:59 PM	1829	7	3672	7	0	0	0.1	0.01	142.86	131.14	1.27	1.27	287009	0	0.01	0	1.21	0		0		0	0	0	0			0	0.09	1.96	1.24	0		0	0	0	0	0	0	0			0.09	
3/31/2016 11:59:59 PM	1856	7	978	8	0	0	0	0.07	51.71	34.93	2.44	2.44	41452	6.45	0.08	0.01		0.13		0	0	0		0	0.37			-0.03		0		0			0	14	0	0		0	0			
3/31/2016 11:59:59 PM	2040	-48	3444	21	0	0	0	-0.15			2.72	2.72	124444	109.09	0.07	0.22	1.24	-0.2		0	0	0	0	0	-0.4		0	-0.02		-0.28		0		0	0	-0.19	-0.81	0	0	0				
3/31/2016 11:59:59 PM	2161	6	737	7	0	0	0	0.03	68.17	30.71	0.91	0.91	77447	16.67	0.04	0.01	11.7	0		0	0	0			0		0	0		0.16	0	32.43		0		0		0	0	0				
3/31/2016 11:59:59 PM	2376	687	29862	692	0	0	0.01	0.09	22.87	10.87	0.98	0.98	2904101	3.16	0.1	0	2.99	0.1	0	0		0	0	0	0.18			-0.02		0		0			0	3.01	0.06	0	0					
3/31/2016 11:59:59 PM	2554	-4	113	0	0	0	0.22	-0.26			1.9	1.9	6047	17.58	0	0.26	1.03	0			0	0			0		0	-0.89		0		0				0		0		0				
3/31/2016 11:59:59 PM	2732	-15	3616	0	0	0	0.1	-0.02			1	1	345173	5	0	0.02	1.39	-0.01		-0.04	0	0	0	-0.01	-0.01			-0.08		0		0		0	-0.08	-0.02	0	0	0	0				
3/31/2016 11:59:59 PM	2750	0	645	0	0	0	0	0			1.58	1.58	41206	0	0	0		0		0	0	0			0		0	0		0		0		0		0	0	0	0	0				
3/31/2016 11:59:59 PM	3177	122	3220	122	0	0	0.06	0.06	22.88	6.6	0.4	0.4	784765	0	0.06	0	0.69	0.06		0		0.07	0.98	0	0			0		0				0	0	0	0	0.03	0					
3/31/2016 11:59:59 PM	3252	243	3062	309	0	0	0.66	1.03	3.45	3.15	3.14	3.14	94764	20.54	1.3	0.28	0.62	-0.01		0	-0.02	0			0		1.56	-0.34	0	5.12		0			0		0	0		0.92				
3/31/2016 11:59:59 PM	3458	1	345	1	0	0	0.14	0.02	122	86.25	1.28	1.28	25913	0	0.02	0	5.66	0		0	0	0		0	0		0	0		0.26		0			0	0	0	0	0	0.42				
