Reporting Period	ID RSSD	UBPR7414	UBPRE497	UBPRE498	UBPRE499	UBPRE500	UBPRE501	UBPRE502	UBPRE503	UBPRE504	UBPRE521	UBPRE522	UBPRE523	UBPRE524	UBPRE529	UBPRE530	UBPRE531	UBPRE532	UBPRE533	UBPRE534	UBPRE535	UBPRE536	UBPRE537	UBPRE538	UBPRE539	UBPRE540	UBPRE541	UBPRE542	UBPRE544	UBPRE545	UBPRE546	UBPRE547	UBPRE549	UBPRE550	UBPRE551	UBPRE552	UBPRF896	UBPRFC07	UBPRFC08	UBPRFC09	UBPRFC10	UBPRFC11	UBPRFC12	UBPRFC13	UBPRFC14	UBPRFC15	UBPRFC16	UBPRFC17	UBPRFC18	UBPRFC19	UBPRFC20	UBPRFC21	UBPRFC22	UBPRK264	UBPRK265	UBPRK266	
		NONCURRENT ASSETS AS PERCENT OF TOTL	LN_CMID_TOT_DOM	LN_CMID_NACCR_DOM	LN_CMID_NCUR_TOT	LN_CMID_30_89_TOT	LN_INV_PD_90_TOT	LN_INV_NACCR_TOT	LN_INV_NCUR_TOT	LN_INV_30_90_TOT	LN_CRCD_PD_90	LN_NACCR_CRCD	LN_NCUR_CRCD	LN_CRCD_PD_30_89	LS_PD_90_TOT_LS	LS_FIN_RCV_TOT_LS	LS_FIN_RCV_NCUR_LS	LS_FIN_RCV_PD_3089	LN_AG_PD_90_TOT	LN_NACCR_AG_N34S	LN_NCUR_AG_NPD_30	LN_AG_PD_30_90_TOT	LNLS_OTH_PD_90	LNLS_OTH_NACCR_TOT	LNLS_PD_90_NCUR	LNLS_OTH_PD_30_89	LNLS_TOT_PD_90_GRS	LNLS_TOT_NACCR	LNLS_TOT_PD_30_89	LNLS_NCUR_ALWNC	LNLS_NCUR_EQCAP	LNLS_TOT_PD_NACCR	LNLS_NPRF_LNLS_ORE	LNLS_NCUR_NACCR	LNLS_TOT_NCUR	LN_RESTR_TOT_TOTLN	LN_1T4_FORCL_TOT14	FIN INST LN 90+ PD RTO	FIN INST LN NACCR RTO	FIN INST LN TAL DLNQT RTO	FIN INST LN 30-89 PD RTO	AUTO LN 90+ PD RTO	AUTO LN NACCR RTO	AUTO LN TAL DLNQT RTO	AUTO LN 30-89 PD RTO	LS IND 90+ RTO	LS IND NACCR RTO	LS IND TAL DLNQT RTO	LS IND 30-89 RTO	OTHR LS 90+ RTO	OTHR LS NACCR RTO	OTHR LS TAL DLNQT RTO	OTHR LS 30-89 RTO	GTY LN LS PD 90MOR PCT TOT LN LS 90M	:GTY LN LS NONACR PCT TOT LN LS NONA	GTY LN LS PD 30-89 PCT TOT LN LS 30-	
3/31/2016 11:59:59 PM	37	0.89	0	0	0	2.74	0.1	1.79	1.89	3.16													0	0	0	5.51	0.19	0.7	5.67	25.07	1.24	6.56	0.89	0	1.25	1.25	0					0	2.72	2.72	3.31									0	0	0	
3/31/2016 11:59:59 PM	242	0.21	0	0.75	0.75	5.23	1.22	0.15	1.37	3.69									0	0	0	0	0	0	0	0	0.13	0.08	2.06	30.36	0.96	2.27	0.21	0	0.04	0.04	0					1.23	0	1.23	3.45									0	0	0	
3/31/2016 11:59:59 PM	279	0.1	0	0	0	0	0.25	0.14	0.39	2.32													0	0	0	0.59	0.01	0.09	0.63	15.67	0.52	0.73	0.1	0	0	0	0					0.94	0	0.94	5.62									0	0	0	
3/31/2016 11:59:59 PM	354	3.01	0	0	0	0	1.08	10.7	11.79	3.25									0	0	0	0	0	0	0	25.45	0.22	2.79	3.29	57.45	10.65	6.3	3.01	0	0	0	0					1.14	14.86	16	3.05									0	0	0	
3/31/2016 11:59:59 PM	457	1.57	0	0.14	0.14	0	0	0.33	0.33	0									0	0.72	0.72	0	0	0	0	0	0.14	1.43	0	126.37	13.11	1.57	1.65	0	0.89	0.89	0					0	0.07	0.07	0									0	0		
3/31/2016 11:59:59 PM	505	1.74	0	4.6	4.6	0	0	0	0	0.55													0	0.05	0.05	0.02	0.11	1.64	0.17	127.56	14.57	1.91	2.19	0.2	0.3	0.09	0.61					0	0	0	0.1									0	0	29.3	
3/31/2016 11:59:59 PM	1155	0.65	0	0.72	0.72	0.4	0.24	0.11	0.36	0.75	0.4	0	0.4	0.4					0.71	0	0.71	0.2	0.09	0	0.09	0.09	0.05	0.6	1.14	39.3	5.09	1.8	1.87	0	0.1	0.1	0					0	0.28	0.28	1.78									0	0	0	
3/31/2016 11:59:59 PM	1351	4.02	0.24	10.56	10.8	1.79	0.27	1.8	2.07	2.14									0	1.39	1.39	1.04	0	0	0	0	0.07	3.95	1.4	244.38	14.38	5.42	4.3	0	2.2	2.2	0					0	2.33	2.33	1.07									0	0	0	
3/31/2016 11:59:59 PM	1454	0.1	0	0.77	0.77	1.45	0	0.06	0.06	1.28					0	0	0	0	0	0	0	4.31	0	0	0	0	0.02	0.09	0.67	7.86	0.34	0.78	0.53	0	1.11	1.12	0					0	0.02	0.02	0.82					0	0	0	0	0	0	0	
