Reporting Period	ID RSSD	UBPRD638	UBPRE389	UBPRE393	UBPRE394	UBPRE396	UBPRE414	UBPRE415	UBPRE416	UBPRE417	UBPRE418	UBPRE419	UBPRE420	UBPRE421	UBPRE422	UBPRE423	UBPRE424	UBPRE425	UBPRE426	UBPRE428	UBPRE429	UBPRE430	UBPRE431	UBPRE432	UBPRE433	UBPRE434	UBPRE435	UBPRE436	UBPRE437	UBPRE438	UBPRE439	UBPRE440	UBPRE441	UBPRE442	UBPRE443	UBPRE444	UBPRE445	UBPRE446	UBPRE447	UBPRE448	UBPRFB71	UBPRFB72	UBPRFB74	UBPRFB75	UBPRFB76	UBPRFB77	
		RE_GNMA_FORCL_AA	LN_NFRM_NRES_LNLS	LN_1T4_CNSTRC_LNLS	LN_OTH_CNSTRC_LNLS	LN_NFRM_OWNROCC_LN	LN_CNSTRC_CYA_LNLS	LN_RE_LNLS_CYA_GRS	LN_HE_CYA_GRS	LN_RE_FARM_LNLS	LN_FAM_MULT_LNLS	LN_NFARM_LNLS	RE_TOT_CYA_LNLS	LN_FIN_CYA_LNLS	LN_FARM_CYA_LNLS	LN_CMID_CYA_LNLS	LN_DOM_IND_LNLS	LN_CRCD_CYA_LNLS	LN_SCM_DOM_LNLS	LN_OFC_FGN_LNLS	LN_DOM_CYA_LNLS	LS_DOM_RCV_LNLS	LN_GOVT_FGN_LNLS	LN_CML_RE_LNLS	CMT_EXTD_CR_QAL	LN_OFCR_SHLDR_QAL	LN_OFCR_SHLDR_ASET	RE_CSTRC_DV_A	RE_FMLD_ASET_A	RE_FAM_AVG_AA	RE_FAM_MULT_AA	RE_NFARM_NRSD_AA	RE_OFC_FGN_AA	RE_OTH_AA	RE_OTH_INV_AA	RE_OTH_TOT_AVG_AA	SRVC_1T4FAM_REC_TA	SRVC_1T4FAM_NRC_TA	SRVC_OTH_NREC_TA	SRVC_1T4OTH_TA	LOAN MIX 1-4 FAM 1ST LIEN LN	LOAN MIX 1-4 FAM JR LIEN LN	LOAN MIX RE LN IN FO	LOAN MIX AUTO LN	LOAN MIX LS IND	LOAN MIX OTHR LS	
3/31/2018 11:59:59 PM	37	0	5.96	0	1.96	2.72	1.96	51.52	0	4.04	0	8.68	66.21	0	0.11	10.92	18.97	0	3.58	0	0.21	0		0	9.64	0	0	0	0	0.07	0	0		0.07	0	0.07				0	51.4	0.12		11.48			
3/31/2018 11:59:59 PM	242	0	17	0	0	0	0	35.86	0	16.57	0	17	69.42	0	12.87	7.38	9.87	0	0.42	0	0.04	0		0	14.13	0.63	0.37	0	0	0	0	0		0	0	0				0	35.02	0.84		6.25			
3/31/2018 11:59:59 PM	279	0	9.68	0.97	3.05	1.77	4.02	77.6	0.23	1.91	0.11	11.44	95.08	0	0.34	2.13	2.34	0	0.05	0	0.05	0		0	2.33	2.31	1.48	0.12	0	0.01	0	0.06		0.19	0	0.19				1.45	75.1	2.27		0.42			
3/31/2018 11:59:59 PM	354	0	0	0	0	2.05	0	9.53	0	13.57	0	2.05	25.14	0	32.33	26.02	15.82	0	0	0	0.7	0		0	4.97	0	0	0	0	0	0	0		0	0	0				0	9.53	0		10.42			
3/31/2018 11:59:59 PM	457	0	2.89	1.97	1.51	6.03	3.48	26	2.89	17.63	1.01	8.92	57.04	0	16.78	15.99	6.89	0	3.27	0	0.02	0		0	14.43	2.95	2.51	0	0	0.62	0	0.06		0.69	0	0.69				0	21.48	1.64		3.68			
3/31/2018 11:59:59 PM	505	0	17.06	3.73	4.12	8.7	7.85	43.6	3.26	0	6.94	25.76	84.16	0	0	6.1	6.76	0	2.38	0	0.6	0		0.23	18.57	3.53	2.79	0	0	0.01	0	0		0.01	0	0.01				5.36	39.64	0.7		0.82			
3/31/2018 11:59:59 PM	1155	0	7.04	3.9	8.02	12.77	11.92	23.02	0.4	4.98	1.43	19.8	61.15	0	4.79	27.43	3.01	0.29	0.94	0	2.67	0		0	21.05	3.9	2.94	0.48	0.36	0	0	0		0.84	0	0.84				8.74	21.47	1.14		1.08			
3/31/2018 11:59:59 PM	1351	0	0	1.73	0.26	29.02	1.99	21.16	0	7.99	0	29.02	60.16	0	7.55	20.62	11.54	0	0	0	0.13	0		0	4.65	2.39	1.43	0	0	0.12	0.17	0.13		0.41	0	0.41				0	21.16	0		5.6			
3/31/2018 11:59:59 PM	1454	0	10.93	0.06	3.43	21.23	3.5	39.81	3.69	1.98	1.29	32.16	78.74	0	1.81	10.49	7.87	0	0	0	0.02	1.09		0.75	18.23	7.02	2.51	0	0	0	0	0		0	0	0				10.61	35.54	0.58		6.31			
