Reporting Period	ID RSSD	UBPRD490	UBPRD646	UBPRD647	UBPRD648	UBPRD649	UBPRD650	UBPRE392	UBPRE632	UBPRE657	UBPRE658	UBPRE663	UBPRE880	UBPRE881	UBPRE882	UBPRE883	UBPRE884	UBPRE885	UBPRE886	UBPRE887	UBPRE888	UBPRE889	UBPRE890	UBPRE891	UBPRE892	UBPRE893	UBPRE894	UBPRE895	UBPRFB78	UBPRFB79	UBPRFB80	UBPRFB81	UBPRFB82	UBPRFB83	
		LN_CNSTRC_CYA_TC	CONST_RE_TLN	CRE_NONOWN_TC	CRE_NONOWN_TLN	CRE_TOT_TC	CRE_TOT_TLN	LN_NFRM_NRES_TC	LN_1T4_CNSTRC_TC	LN_OTH_CNSTRC_TC	LN_RE_LNLS_CYA_TC	LN_HE_CYA_TC	LN_RE_FARM_TC	LN_FAM_MULT_TC	LN_NFARM_LNLS_TC	LN_NFRM_OWNROCC_TC	RE_TOT_CYA_TC	LN_FIN_CYA_TC	LN_FARM_CYA_TC	LN_CMID_CYA_TC	LN_DOM_IND_TC	LN_CRCD_CYA_TC	LN_SCM_DOM_TC	LN_OFC_FGN_TC	LN_DOM_CYA_TC	LS_DOM_RCV_TC	LN_GOVT_FGN_TC	LN_CML_RE_TC	RTO 1-4 FAM 1ST LIEN LN CPT	RTO 1-4 FAM JR LIEN LN CPT	RTO RE LN IN FO CPT	RTO AUTO LN CPT	RTO LS IND CPT	RTO OTHR LS CPT	
3/31/2018 11:59:59 PM	37	2.74	1.67	13.01	7.97	17.4	10.65	10.28	0	2.74	81.99	0	6.39	0	14.66	4.39	105.78	0	0	16.62	29.16	0	11.42	0	0.34	0		0	81.8	0.19		17.81			
3/31/2018 11:59:59 PM	242	0	0	75.22	16.42	75.22	16.42	75.22	0	0	170.48	0	83.17	0	75.22	0	328.87	0	48.03	34.54	44.72	0	1.92	0	0.13	0		0	166.13	4.35		29.16			
3/31/2018 11:59:59 PM	279	17.79	3.96	61.75	13.73	69.7	15.5	43.46	3.55	14.24	348.69	0.95	8.48	0.49	51.42	7.96	426.88	0	2.16	9.72	10.54	0	0.22	0	0.19	0		0	337.51	10.24		1.91			
3/31/2018 11:59:59 PM	354	0	0	0	0	5.46	2	0	0	0	33.31	0	35.96	0	5.46	5.46	74.73	0	82.78	71.78	41.35	0	0	0	2.58	0		0	33.31	0		26.56			
3/31/2018 11:59:59 PM	457	27.21	3.63	57.25	7.64	99.95	13.34	22.36	15.42	11.79	196.68	21.35	134.78	7.68	65.06	42.7	431.41	0	114.28	125.57	52.36	0	25.12	0	0.32	0		0	162.98	12.35		28.34			
3/31/2018 11:59:59 PM	505	71.04	8	285.93	32.2	363.57	40.95	150.35	33.43	37.61	389.45	28.94	0	62.23	227.99	77.64	750.71	0	0	53.95	59.41	0	21.4	0	5.36	0		2.3	354.21	6.3		7.01			
3/31/2018 11:59:59 PM	1155	86.49	11.73	148.94	20.19	243.6	33.03	51.92	29.08	57.41	169.62	2.91	33.68	10.53	146.58	94.66	446.9	0	35.78	207.48	21.25	2.07	6.91	0	19.2	0		0	158.91	7.8		7.66			
3/31/2018 11:59:59 PM	1351	7.49	2.13	7.49	2.13	110.79	31.59	0	6.38	1.11	73.86	0	26.84	0	103.31	103.31	211.49	0	25.49	73.97	39.17	0	0	0	0.6	0		0	73.86	0		19.23			
3/31/2018 11:59:59 PM	1454	12.57	4.4	48.63	17.02	109.67	38.38	31.01	0.32	12.25	113.36	10.09	5.62	2.93	92.06	61.04	226.54	0	5.31	29.37	22.36	0	0	0	0.05	3.17		2.11	101.66	1.6		17.9			
3/31/2018 11:59:59 PM	1669	6.12	2.21	17.08	6.15	59.14	21.3	10.17	5.97	0.16	147.2	0	0	0.79	52.23	42.06	206.34	0	8.83	24.89	32.79	0	4.79	0	0.01	0		0	143	4.2		15.61			
3/31/2018 11:59:59 PM	1856	36.9	16.08	93.7	40.84	93.8	40.88	38.03	0	36.9	53.36	0	2.65	18.77	38.14	0.11	149.82	0	1.41	46.89	27.71	0	1.86	0	0.01	1.76		0	53.24	0.13		1.07			
3/31/2018 11:59:59 PM	2040	14.89	2.63	182.73	32.25	333.43	58.84	121.88	2.44	12.44	83.71	4.29	15.58	45.96	272.58	150.7	432.72	0	21.12	106.14	3.57	0	2.99	0	0.14	0		0	76.97	2.45		0.83			
3/31/2018 11:59:59 PM	2161	2.66	0.46	134.5	23.15	153.85	26.48	84.5	2.66	0	224.82	0	37.94	47.33	103.85	19.35	416.61	0	45.23	73.85	44.52	1.76	0	0	0.74	0		0	224.47	0.34		13.13			
3/31/2018 11:59:59 PM	2376	1.83	0.27	616.56	90.92	627.49	92.54	270.37	0	1.83	48.98	1.07	0	342.11	281.3	10.93	674.23	0	0	3.86	0	0	0	0	0	0		2.24	47.38	0.54		0	0	0	
3/31/2018 11:59:59 PM	2554	0	0	0	0	22.92	3.75	0	0	0	13.29	0	310.37	0	22.92	22.92	346.58	0	84.41	123.46	26.85	0	20.68	0	8.88	0		0	13.29	0		12.81			
3/31/2018 11:59:59 PM	2732	57.59	12.29	354.19	75.6	401.78	85.75	124.71	3.48	54.11	34.5	10.21	0	157.67	172.3	47.59	422.07	0	0	46.12	0.69	0	0	0	0.13	0		14.22	24.29	0		0.18			
3/31/2018 11:59:59 PM	2750	20.15	3.59	52.33	9.33	64.96	11.58	25.16	2.05	18.09	28.99	0	98.57	7.03	37.78	12.63	192.52	0	293.31	30.28	7.79	0	10.3	0	26.94	0		0	28.32	0.68		3.86			
3/31/2018 11:59:59 PM	3252	3.18	0.87	29.3	8.06	29.3	8.06	26.12	0	3.18	1.04	0	93.7	0	26.12	0	124.04	0	168.64	41.62	21.44	0	5.8	0	1.47	0.49		0	1.04	0		5.7			
3/31/2018 11:59:59 PM	3458	7.93	1.09	17.22	2.36	56.99	7.8	6.6	7.93	0	125.01	0	205.06	2.69	46.36	39.76	387.06	0	148	142.46	53.54	0	0	0	0	0		0	124.38	0.64		31.21			
3/31/2018 11:59:59 PM	3720	26.97	7.35	98.07	26.72	165.32	45.04	63.34	11.44	15.53	98.45	6.02	26.44	6.47	130.59	67.25	288.92	0	18.01	35.05	20.02	0	4.59	0	0.47	0		1.29	90.5	1.93		7.44			
3/31/2018 11:59:59 PM	3971	39.39	7.39	239.93	44.98	270.01	50.62	140.22	1.32	38.07	110.99	19.43	26.24	60.03	170.31	30.08	406.95	0	15	68.53	15.25	0	0	0	0	27.63		0.28	87.24	4.32		0.24			
3/31/2018 11:59:59 PM	4156	18.72	2.98	196.09	31.19	213.81	34.01	121.73	7.04	11.68	176.73	12.35	91.9	55.64	139.45	17.72	482.44	0	51.15	85.45	7.56	0	0	0	0	2.07		0	160.37	4		3.17			
3/31/2018 11:59:59 PM	4231	9.46	3.85	95.96	39.02	132.77	53.98	86.5	0.01	9.45	44.94	0	26.58	0	123.31	36.81	204.29	0	2.33	11.26	23.34	0	4.61	0	0.1	0		0	44.94	0		5.22			
3/31/2018 11:59:59 PM	4839	38.6	7.36	295.59	56.35	444.53	84.75	143.93	19.73	18.87	68.25	8.6	0	113.06	292.87	148.94	512.78	0	0	7.57	3.2	0	0	0	0.97	0		0	56.23	3.42		0.28			
3/31/2018 11:59:59 PM	5069	68.68	39.96	99.09	57.66	134.33	78.16	29.46	58.44	10.23	33.36	0.52	2.4	0.95	64.7	35.24	170.09	0	0	3.42	0	0	0	0	0	0		0	21.41	11.42		0			
3/31/2018 11:59:59 PM	5135	13.73	2.72	39.4	7.81	96.27	19.08	17.89	1.07	12.66	129.55	0	107.51	7.78	74.76	56.87	333.34	0	106	41.79	17.59	0.87	5.8	0	0.1	0		0	128.6	0.95		6.09			
3/31/2018 11:59:59 PM	5210	17.84	2.24	191.51	24.07	312.08	39.22	148.08	7.55	10.29	335.62	67.15	33.36	25.6	268.65	120.57	681.06	0	3.17	39.11	10.31	0	55.58	0	6.55	0		0	244.81	23.65		0.39	0	0	
3/31/2018 11:59:59 PM	5461	10.01	1.6	343.93	55.07	430.76	68.97	246.61	2.34	7.67	70.81	12.65	40.57	65.63	333.44	86.82	520.45	0	21.23	57.25	12.67	0	0	0	13.62	0		21.68	55.1	3.05		0.04			
3/31/2018 11:59:59 PM	5751	8.26	1.97	55.24	13.16	95.02	22.64	24.54	2.46	5.79	84.13	7.88	68.7	22.44	64.32	39.78	247.85	0	62.54	92.96	11.3	0	1.19	0	0.06	3.83		0	75.87	0.38		7.17			
3/31/2018 11:59:59 PM	6039	49.37	8.65	176.5	30.91	292.67	51.25	120.46	16.38	33	85.46	2.42	110.88	6.67	236.63	116.17	489.01	0	10.65	49.2	20.7	1.49	0	0	1.5	0		0	80.64	2.4		4.09			
3/31/2018 11:59:59 PM	6329	126.56	15.81	173.41	21.66	291.21	36.37	38.37	46.35	80.22	164.57	3.65	8.98	8.48	156.17	117.8	464.76	0	2.8	61.24	270.57	0	0.82	0	0.57	0		0	156.68	4.23		214.79	0	0	
3/31/2018 11:59:59 PM	7009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.55	209.49	0	0	0	4.87	0		0	0	0		0			
3/31/2018 11:59:59 PM	7045	6.19	1.79	36.24	10.48	58.82	17.01	30.05	4.75	1.43	158.36	3.36	29.13	0	52.63	22.57	246.3	0	26.72	21.77	48.93	2.18	2	0	0	0		0	154.23	0.76		29.5			
3/31/2018 11:59:59 PM	7072	34.54	3.95	162.55	18.58	245.26	28.03	68.2	6.95	27.59	571.22	20.51	5.45	59.81	150.91	82.71	821.93	0	0.54	41.7	10.67	0	0	0	0	0		0	533.52	17.19		0.25			
3/31/2018 11:59:59 PM	7456	15.86	1.96	58.77	7.26	84.8	10.48	42.91	14.67	1.19	66.4	0	158.31	0	68.94	26.03	309.51	0	351.7	130.05	17.76	0	0.21	0	0.13	0		0	60.82	5.59		9.21			
3/31/2018 11:59:59 PM	7634	12.75	2.64	148.58	30.75	148.58	30.75	135.83	12.12	0.63	136.17	0	21.71	0	135.83	0	306.47	0	10.07	57.12	106.87	0	0	0	2.72	0		0	133.7	2.47		0.24			
3/31/2018 11:59:59 PM	8033	160.19	24.25	194.09	29.38	263.05	39.82	25.81	85.56	74.63	296.27	0	41.57	8.1	94.76	68.95	600.88	0	10.03	33.47	14.5	0	0	0	1.75	0		0	284.16	12.11		3.67			
3/31/2018 11:59:59 PM	8462	2.84	1.16	8.24	3.35	17.12	6.96	5.39	2.84	0	42.6	0	34.27	0	14.28	8.88	93.99	0	46.69	65.24	40.15	0	0	0	0	0		0	42.57	0.03		30.97			
3/31/2018 11:59:59 PM	8631	16.68	3.45	108.43	22.42	120.43	24.9	91.75	0	16.68	210.78	0	8.26	0	103.76	12	339.47	0	3.88	77.55	58.04	0	3.63	0	1.11	0		0	208.02	2.76		36.08			
3/31/2018 11:59:59 PM	9357	4.59	0.81	72.71	12.76	148.2	26.02	44.06	4.59	0	138.03	2.87	1.17	24.05	119.56	75.5	287.4	0	0.02	191.18	5.4	0	0	0	85.51	0.13		0	134.98	0.18		0.1	0	0.13	
3/31/2018 11:59:59 PM	9553	3.8	0.68	16.06	2.86	27.44	4.88	0	3.8	0	45.91	0.26	179.33	12.26	11.38	11.38	252.68	0	245.78	48.75	8.66	0	0	0	6.39	0		0	43.01	2.64		3.81			
3/31/2018 11:59:59 PM	9807	99.66	21.7	304.28	66.24	330.96	72.05	101.16	18.47	81.19	113.04	14.18	0	103.46	127.84	26.68	444	0	0	15.67	0.15	0	0	0	0.14	0		0	93.46	5.4		0	0	0	
3/31/2018 11:59:59 PM	9955	0	0	144.28	35.98	161.27	40.21	144.06	0	0	27.18	3.51	75.06	0.22	161.05	16.99	263.5	0	52.23	68.75	8.89	0	0	0	0.21	7.44		0	23.66	0		3.24			
3/31/2018 11:59:59 PM	10250	60.58	8.97	177.9	26.36	327.72	48.55	85.52	6.72	53.86	127.03	29.18	1.09	31.81	235.33	149.81	455.84	0	0	192.65	24.77	0.46	1.66	0	0.08	0		0	88.54	9.31		15.93			
3/31/2018 11:59:59 PM	10849	26.22	5.23	172.6	34.42	284.99	56.83	84.96	14.55	11.67	110.85	0.18	60.13	61.43	197.34	112.39	455.97	0	11.13	19.09	4.31	0	11.25	0	0.07	0		0	110.29	0.38		1.67			
