Reporting Period	ID RSSD	UBPR0416	UBPR3506	UBPR5369	UBPR8783	UBPRE582	UBPRE583	UBPRE588	UBPRE589	UBPRE590	UBPRE602	UBPRE621	UBPRE622	UBPRE623	UBPRE624	UBPRG378	UBPRM026	UBPRM027	UBPRM028	UBPRM029	UBPRM030	UBPRM031	UBPRM032	UBPRM033	UBPRM034	UBPRM035	UBPRM036	UBPRM037	UBPRM038	UBPRM039	UBPRM042	
		PLEDGED SECURITIES-BOOK VLAUE	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	LOANS AND LEASES HELD FOR SALE	FAIR VALUE OF STRUCTURED NOTES	INV_TEMP	ASET_INV_LNLS_LT1	SEC_DBT_NCUR	INV_TEMP_TA	SEC_MKTB_TA	LNLS_LTR_CR_TA	APP_HRSK_NTE_STRU	SEC_APP_DPR_BV_SEC	SEC_APP_ECAP	SEC_PLDG_TS	PLDG LN AND LEASE	PLEDGED ASSETS / PCT OF TOT ASSETS	US TREAS GOVT AGENCIES / PCT OF TOT 	MUNI SEC / PCT OF TOT SEC	PASS-THRU MBS / PCT OF TOT SCTY	CMO REMIC MBS / PCT OF TOT SCTY	CMRL MBS / PCT OF TOT SCTY	ABS / PCT OF TOT SCTY	STRUCT FIN PROD / PCT OF TOT SCTY	OTHR DOM DEBT SECS / PCT OF TOT SCTY	FOR DEBT SEC / PCT OF TOT SCTY	MUT FND OTH MKTBL SCTY / PCT TOT SY	APP IN AFS SEC / PCT OF AFS SEC	PLEDGED LN / PCT OF TOT LN	LN HELD FOR SALE / PCT OF TOT LN	SEC CATEGORIES, PCT TOT SEC	
3/31/2018 11:59:59 PM	37	16851	0	0	2254	6152	13113	0	7.53	0	30.26	-0.3		0	34.88	0	20.63	13.22	72.27	14.52	0	0	0	0	0	0	0	-1.53	0	0	100	
3/31/2018 11:59:59 PM	242	3145	0	0	0	6707	18908	0	15.37	0.01	57.57	0		0	26.21	9172	28.22	41.36	55.32	0	0	0	0	0	3.28	0	0.05	-1.03	36.26	0	100	
3/31/2018 11:59:59 PM	279	951	0	0	0	5347	11981	0	2.47	0	62.47	0	-2.55	-3.83	1.6	17119	8.33	0	14.99	85.01	0	0	0	0	0	0	0	-2.67	12.55	0	100	
3/31/2018 11:59:59 PM	354	143	0	1	0	4611	5521	0	53.52	0	40.33	0	0.54	0.3	16.09	0	1.66	100	0	0	0	0	0	0	0	0	0	-4.67	0	0.03	100	
3/31/2018 11:59:59 PM	457	140	0	0	0	3969	18772	0	8.18	0.01	84.81	0	8.33	0.08	47.14	24915	51.65	0	98.65	0.34	0	0	0	0	0	0	1.01	0	59.97	0	100	
3/31/2018 11:59:59 PM	505	68642	0	276	0	13414	39527	0	2.66	0	78.87	0		0	94.8	231818	59.6	2.74	33.04	59.02	0.59	0	0	0	4.61	0	0	-1.5	57.95	0.07	100	
3/31/2018 11:59:59 PM	1155	20513	0	0	0	18018	69920	0	7.73	0	73.84	0	0	0	81.28	97305	50.54	58.48	41.43	0.08	0	0	0	0	0	0	0	-1.36	55.48	0	100	
3/31/2018 11:59:59 PM	1351	23423	0	0	0	2419	59600	0	1.6	0	60.89	0	-2.09	-3.76	46.79	0	15.48	48.51	47.82	2.36	1.3	0	0	0	0	0	0	-3.11	0	0	100	
3/31/2018 11:59:59 PM	1454	42365	0	1270	82281	76320	98771	0	10.76	0.01	37.54	-3.08		0	10.65	0	5.97	74.46	24.94	0.01	0.57	0	0	0	0	0	0.02	-2.27	0	0.5	100	
3/31/2018 11:59:59 PM	1669	30557	0	0	0	41434	58236	0	14.19	0	44.42	0	-1.2	-1.04	27.04	0	10.46	72.26	27.74	0	0	0	0	0	0	0	0	-1.84	0	0	100	
3/31/2018 11:59:59 PM	1856	25044	0	0	2711	43099	50700	0	38.31	0	30.07	-1.03	2.13	0.47	78.02	5898	27.5	9.92	0	0	56.62	17.79	0	0	15.68	0	0	-2.79	17.14	0	100	
3/31/2018 11:59:59 PM	2040	16203	0	0	0	20627	44245	0	9.85	0.01	64.37	0		0	36.96	115518	62.91	16.11	64.53	8.1	7.8	0	0	0	3.42	0	0.04	-0.56	84.13	0	100	
3/31/2018 11:59:59 PM	2161	2907	0	0	0	24073	55141	0	15.7	0	65.43	0		0	19.55	0	1.9	0	72.77	27.23	0	0	0	0	0	0	0	0.2	0	0	100	
3/31/2018 11:59:59 PM	2376	48998	0	0	0	1048	123357	0	0.03	0	86.11	0	-2.51	-1.5	14.02	2849288	69.98	1.93	0	59.79	30.45	4.96	0	0	2.87	0	0	-2	79.22	0	100	
3/31/2018 11:59:59 PM	2554	0	0	0	365	2696	4147	0	18.49	0	60.7	-0.75	0	0	0	25	0.17	0	65.45	0	0	0	0	0	34.55	0	0	-0.88	0.28	0	100	
3/31/2018 11:59:59 PM	2732	30980	0	0	0	95462	167325	0	16.13	0	74.35	0		0	40.21	0	5.23	59.22	40.39	0	0	0	0	0	0	0.39	0	-0.64	0	0	100	
3/31/2018 11:59:59 PM	2750	3749	0	0	459	1622	24373	0	2.88	6.76	75.28	-0.58		0	43.66	20858	43.75	9.06	33.33	13.31	0	0	0	0	0	0	44.3	-2.95	48.28	0	100	
3/31/2018 11:59:59 PM	3252	75342	0	0	138	2601	2601	0	1.37	0	49.8	0		0	88	33288	57.23	7.89	13.75	23.97	21.5	32.74	0	0.16	0	0	0	-1.09	34.04	0	100	
3/31/2018 11:59:59 PM	3458	7835	0	0	0	3836	10279	0	7.48	0	70.76	0	-1.39	-1.28	86.47	0	15.28	29.97	46.84	18.87	2.1	0	0	0	2.22	0	0	-0.95	0	0	100	
3/31/2018 11:59:59 PM	3720	25253	0	118	0	50209	76170	0	18.35	0	51.31	0	1.39	0	34.29	38877	23.43	64.89	3.23	31.88	0	0	0	0	0	0	0	-2.36	27.44	0.08	100	
3/31/2018 11:59:59 PM	3971	12168	0	2287	13656	60316	157487	0	7.78	0.13	77.75	-0.32		0	19.52	286030	38.47	37.96	0	22.81	17.83	0	0	0	19.83	0	1.57	-1.65	46.83	0.37	100	
3/31/2018 11:59:59 PM	4156	29997	0	110	0	13050	44472	0	6.09	0	67.33	0		0	71.05	17185	22.02	41.01	47.46	8.19	3.34	0	0	0	0	0	0	-2.12	11.79	0.08	100	
3/31/2018 11:59:59 PM	4231	23481	0	0	1944	26994	37346	0	22.94	0	36.25	-0.32		0	53.87	0	19.96	4.46	34.86	60.57	0.11	0	0	0	0	0	0	-3.27	0	0	100	
3/31/2018 11:59:59 PM	4839	36861	0	0	502	16243	80359	0	4.86	0	70.17	0		0	50.32	50914	26.25	15.95	44.02	21.33	7.03	1.16	6.82	0	3.68	0	0	-3.23	21.39	0	100	
3/31/2018 11:59:59 PM	5069	0	0	0	0	70603	320136	0	15.78	0.16	68.52	0		0	0	70463	15.75	0	43.42	0	0	0	0	0	54	0	2.57	11.39	22.13	0	100	
3/31/2018 11:59:59 PM	5135	50406	0	0	16106	76233	282062	0	16.19	0	73.3	-1.61		0	96.05	46712	20.62	91.24	8.76	0	0	0	0	0	0	0	0	-2.1	13.41	0	100	
3/31/2018 11:59:59 PM	5210	149780	0	474	0	61711	138107	0	3.86	0.06	76.89	0	-1.5	-0.43	75.64	651726	50.13	62.09	6.32	27.6	0.47	0.48	0	0	2.52	0	0.51	-1.89	52.63	0.04	100	
3/31/2018 11:59:59 PM	5461	32372	0	0	1959	36347	78823	0	5.81	0	63.59	-0.07		0	19.26	250353	45.19	38.66	40.57	17.16	0	0	0	0	3.6	0	0	-1.38	62.07	0	100	
3/31/2018 11:59:59 PM	5751	29129	0	0	0	10106	44472	0	4.9	0	69.22	0		0	73	26190	26.84	2.38	79.47	8.4	2.22	5.09	2.44	0	0	0	0	-0.04	18.14	0	100	
3/31/2018 11:59:59 PM	6039	12274	0	0	2970	58774	139242	0	21.88	0	66.21	-0.1		0	54.38	0	4.57	97.4	2.6	0	0	0	0	0	0	0	0	-1.35	0	0	100	
3/31/2018 11:59:59 PM	6329	22378	0	1100	0	50224	164636	0	7.22	0	81.88	0		0	75.17	19957	6.09	80.21	19.79	0	0	0	0	0	0	0	0	-0.6	3.46	0.19	100	
3/31/2018 11:59:59 PM	7009	283587	0	0	0	533159	766442	0	59.36	3.48	26.61	0		0	90.08	0	31.58	72.43	17.65	0	0	0	0	0	0	0	9.92	0.18	0	0	100	
3/31/2018 11:59:59 PM	7045	0	0	0	0	12045	17316	0	5.78	0	35.46	0		0	0	29757	14.28	0.86	42.78	56.35	0	0	0	0	0	0	0	-2.89	39.84	0	100	
3/31/2018 11:59:59 PM	7072	1574	0	0	0	4370	18699	0	1.38	0	81.8	0		0	7.17	122559	39.13	8.96	15.35	57.38	8.23	0	0	0	10.08	0	0	-2.06	47.1	0	100	
3/31/2018 11:59:59 PM	7456	13001	0	0	0	4109	38864	0	4.52	0	75.28	0		0	99.92	0	14.3	0	98.44	1.56	0	0	0	0	0	0	0	-0.04	0	0	100	
3/31/2018 11:59:59 PM	7634	3336	0	0	0	7449	23398	0	10.91	0	67.6	0	0	0	26.3	1079	6.47	0	40.42	56.93	2.66	0	0	0	0	0	0	-2.05	2.29	0	100	
3/31/2018 11:59:59 PM	8033	2827	0	0	0	16007	138371	0	6.03	0	87.96	0		0	59.54	20136	8.65	42.02	57.98	0	0	0	0	0	0	0	0	-1.82	8.62	0	100	
3/31/2018 11:59:59 PM	8462	30457	0	701	0	29771	40196	0	16.78	0	31.67	0		0	33.42	0	17.17	41.8	16.17	42.03	0	0	0	0	0	0	0	-1.65	0	1.24	100	
3/31/2018 11:59:59 PM	8631	1164	0	0	0	10255	13362	0	15.8	0	54.2	0		0	8.2	0	1.79	97.82	2.18	0	0	0	0	0	0	0	0	-2	0	0	100	
3/31/2018 11:59:59 PM	9357	85900	0	81581	7868	17340	221517	0	3.7	0.21	73.15	-0.09		0	94.55	196696	60.23	61.64	0	18.35	9.23	9.72	0	0	0	0	1.06	-1.47	57.09	23.68	100	
3/31/2018 11:59:59 PM	9553	40567	0	0	0	13095	53008	0	8.11	0	55.32	0	-0.11	-0.23	76.71	54808	59.05	0.47	61.26	34.83	3.45	0	0	0	0	0	0	-2.67	60.75	0	100	
3/31/2018 11:59:59 PM	9807	163379	0	0	0	233007	706658	0	9.98	0.05	75.7	0		0	63.02	549622	30.55	26.65	65.37	2.75	0	0	0	0	4.75	0	0.48	-0.83	31.23	0	100	
3/31/2018 11:59:59 PM	9955	26304	0	0	981	22927	55553	0	14.78	0	51.92	-0.03		0	48.73	30304	36.49	23.27	76.73	0	0	0	0	0	0	0	0	-0.81	36.91	0	100	
3/31/2018 11:59:59 PM	10250	13790	0	0	0	16141	61125	0	3.91	0	68.27	0		0	13.76	133608	35.69	14.76	31.79	53.45	0	0	0	0	0	0	0	-2.7	47.12	0	100	
3/31/2018 11:59:59 PM	10849	39587	0	0	0	23703	45748	0	8.49	0	48.04	0	-2.22	-3.06	35.71	0	14.18	36.5	8.18	33.05	20.41	0	0	0.05	1.81	0	0	-3.37	0	0	100	
3/31/2018 11:59:59 PM	11145	3886	0	0	2023	19702	39289	0	7.56	0	78.39	-0.09		0	18.41	20301	9.29	20.04	69.28	1.35	9.34	0	0	0	0	0	0	-1.13	9.84	0	100	
3/31/2018 11:59:59 PM	11640	41807	0	0	6337	52341	132215	852	13.27	0	55.65	-0.36		0	44.83	94950	34.68	12.97	56.74	1.28	0	29.01	0	0	0	0	0	-2.01	42.81	0	100	
3/31/2018 11:59:59 PM	11837	37230	0	0	0	5531	10054	0	5.74	0	41.91	0		0	73.09	2591	41.36	34.36	8.8	48.14	0	0	0	0	8.7	0	0	-2.56	6.29	0	100	
3/31/2018 11:59:59 PM	12030	23601	0	0	0	55066	108290	0	14.76	0	70.93	0	1.21	0.05	89.9	0	6.33	92.62	7.38	0	0	0	0	0	0	0	0	-0.33	0	0	100	
3/31/2018 11:59:59 PM	12142	19149	0	0	970	21141	55191	0	8.99	0	50.59	-0.12	0.32	0	24	0	8.15	17.57	41.06	40.16	1.21	0	0	0	0	0	0	-2.12	0	0	100	
3/31/2018 11:59:59 PM	12179	0	0	0	0	5182	6580	0	11.97	0.23	76.12	0	0	0	0	19528	45.1	84.2	0	2.54	0	0	0	0	0	0	13.25	-0.95	59	0	100	
3/31/2018 11:59:59 PM	12311	6481503	0	505893	0	336672	11510750	6478	0.32	0.01	68.74	0	-2.72	-2.15	27.7	33487453	38.42	2.45	16.41	10.15	42.41	26.4	1.51	0.17	0.42	0.02	0.05	-2.65	46.77	0.71	100	
3/31/2018 11:59:59 PM	12647	905	0	0	163	29074	67337	0	18.22	0	65.41	0	-0.43	-0.78	2.75	0	0.57	5.85	91.11	0.98	1.62	0.45	0	0	0	0	0		0	0	100	
3/31/2018 11:59:59 PM	12656	300	0	0	0	4954	5964	0	28.75	0	61.58	0	-1.77	-0.82	35.46	0	1.74	59.57	40.43	0	0	0	0	0	0	0	0		0	0	100	
3/31/2018 11:59:59 PM	12937	0	0	0	0	49758	90300	0	23.87	0	71.17	0		0		81074	38.9												55.26	0		
3/31/2018 11:59:59 PM	12946	219521	0	2225	5898	61294	395227	210	4.19	0.22	73.9	-0.14		0	95.67	466893	46.93	14.06	53.78	28.43	0.69	0	0	1.27	0.38	0	1.39	-1.76	42.63	0.2	100	
3/31/2018 11:59:59 PM	13103	23003	0	635	0	18707	97771	0	0.9	7.53	80.09	0		0	7	977546	47.92	12.1	3.24	22.85	0	0	0.7	0	11.8	1.5	47.81	10.76	57.96	0.04	100	
3/31/2018 11:59:59 PM	13251	2045	0	0	0	12789	22714	0	27.63	0	61.98	0		0	94.59	0	4.42	28.17	71.74	0.09	0	0	0	0	0	0	0	-0.92	0	0	100	
3/31/2018 11:59:59 PM	13457	1518	0	0	0	8146	9282	0	32.59	0	35.31	0		0	22.34	0	6.07	20.49	79.5	0	0	0	0	0	0	0	0.01	-0.74	0	0	100	
3/31/2018 11:59:59 PM	14052	3641	0	172	0	14249	21503	0	21.88	0	61.83	0		0	49.2	6755	15.96	16.88	42.85	23.48	1.16	12.26	0	0	3.38	0	0	-1.6	16.6	0.42	100	
