,rprt_period,RSSD,bank,alll,ncl,avg_os,ncl_rate,alll_rate,alll_to_ncl,alll_to_nonaccrual,type,Report_Date
77,2005-03-31,12311,Huntington,258417,28440,23906653,0.48,1.07,2.27,4.31,Peers,2005Q1
196,2005-03-31,30810,Discover,818328,213623,18128959,4.71,4.69,0.96,7.0,Non-Peers,2005Q1
227,2005-03-31,35301,StateStreet,17612,0,5321903,0.0,0.37,,,Non-Peers,2005Q1
386,2005-03-31,60143,Comerica,635624,38247,42153493,0.36,1.52,4.15,2.36,Peers,2005Q1
484,2005-03-31,75633,BMO,212261,7479,11737496,0.25,1.72,7.1,1.6,BMO,2005Q1
713,2005-03-31,112837,CapOne,228731,14543,15761024,0.37,1.45,3.93,3.68,Non-Peers,2005Q1
1320,2005-03-31,212465,MUFG,367084,-5101,30635849,-0.07,1.2,,7.81,Non-Peers,2005Q1
1436,2005-03-31,233031,Regions,457385,17006,37696485,0.18,1.22,6.72,1.77,Peers,2005Q1
1768,2005-03-31,280110,Key,1128475,53937,67721735,0.32,1.77,5.23,3.7,Peers,2005Q1
2830,2005-03-31,451965,Wells,2367000,162000,279694000,0.23,0.97,3.65,2.97,Non-Peers,2005Q1
2996,2005-03-31,476810,Citi,7574000,1126000,376435000,1.2,2.03,1.68,1.78,Non-Peers,2005Q1
3028,2005-03-31,480228,BAC,3888438,130991,388133785,0.13,1.0,7.42,2.61,Non-Peers,2005Q1
3132,2005-03-31,497404,TD,228165,1019,20200291,0.06,1.16,19.02,3.63,Non-Peers,2005Q1
3182,2005-03-31,504713,USBank,1928572,162504,125735233,0.52,1.54,2.97,3.44,Non-Peers,2005Q1
3395,2005-03-31,541101,BNY,579000,9000,28913000,0.12,1.84,16.08,3.03,Non-Peers,2005Q1
4223,2005-03-31,675332,SunTrust,849668,23696,94398787,0.1,0.94,8.96,3.51,Peers,2005Q1
4506,2005-03-31,723112,FifthThird,362977,37560,33489593,0.45,1.1,2.42,2.89,Peers,2005Q1
5092,2005-03-31,817824,PNC,576696,12179,44079317,0.11,1.35,11.84,4.44,Peers,2005Q1
5317,2005-03-31,852218,JPMC,4871000,381000,359201000,0.42,1.42,3.2,1.8,Non-Peers,2005Q1
5320,2005-03-31,852320,BBT,551171,29215,51608733,0.23,1.07,4.72,2.79,Non-Peers,2005Q1
6516,2005-03-31,1394676,AMEX,278182,79541,9991741,3.18,2.9,0.87,5.33,Non-Peers,2005Q1
6587,2005-03-31,1456501,MS,5387,-1,4177676,0.0,0.25,,,Non-Peers,2005Q1
8217,2005-06-30,12311,Huntington,250287,44240,24333348,0.36,1.03,2.83,3.01,Peers,2005Q2
8335,2005-06-30,30810,Discover,805530,434580,18143309,4.79,4.28,0.93,5.84,Non-Peers,2005Q2
8366,2005-06-30,35301,StateStreet,17657,0,5472312,0.0,0.28,,,Non-Peers,2005Q2
8524,2005-06-30,60143,Comerica,608688,67218,42692983,0.31,1.41,4.53,2.89,Peers,2005Q2
8621,2005-06-30,75633,BMO,308943,11074,21207559,0.1,1.43,13.95,2.13,BMO,2005Q2
8845,2005-06-30,112837,CapOne,227138,30136,15884398,0.38,1.42,3.77,2.85,Non-Peers,2005Q2
9442,2005-06-30,212465,MUFG,356374,-6887,31118293,-0.04,1.12,,9.06,Non-Peers,2005Q2
9555,2005-06-30,233031,Regions,758453,38065,44357996,0.17,1.3,9.96,1.87,Peers,2005Q2
9884,2005-06-30,280110,Key,1099259,102810,67521669,0.3,1.71,5.35,3.68,Peers,2005Q2
10934,2005-06-30,451965,Wells,2336000,314000,280689500,0.22,0.94,3.72,3.02,Non-Peers,2005Q2
11097,2005-06-30,476810,Citi,7282000,2137000,377036000,1.13,1.93,1.7,1.87,Non-Peers,2005Q2
11128,2005-06-30,480228,BAC,5191251,212982,442794699,0.1,1.05,12.19,2.96,Non-Peers,2005Q2
11231,2005-06-30,497404,TD,228168,4614,20217559,0.07,1.14,16.53,3.25,Non-Peers,2005Q2
11281,2005-06-30,504713,USBank,1932600,295280,127543206,0.46,1.49,3.27,3.77,Non-Peers,2005Q2
11492,2005-06-30,541101,BNY,558000,15000,29930000,0.1,1.69,18.6,3.99,Non-Peers,2005Q2
12310,2005-06-30,675332,SunTrust,1034645,72100,104001064,0.14,0.94,7.18,3.17,Peers,2005Q2
12590,2005-06-30,723112,FifthThird,364009,70348,33968830,0.41,1.09,2.59,3.04,Peers,2005Q2
13169,2005-06-30,817824,PNC,606013,-8533,45676229,-0.04,1.29,,4.6,Peers,2005Q2
13393,2005-06-30,852218,JPMC,4676000,690000,361676500,0.38,1.34,3.39,1.46,Non-Peers,2005Q2
13396,2005-06-30,852320,BBT,549937,58890,52438111,0.22,1.02,4.67,3.17,Non-Peers,2005Q2
14581,2005-06-30,1394676,AMEX,298807,160334,10333027,3.1,2.84,0.93,5.67,Non-Peers,2005Q2
14650,2005-06-30,1456501,MS,5387,-1,4259407,0.0,0.17,,,Non-Peers,2005Q2
16150,2005-06-30,3303298,Citizens,83493,4659,6850675,0.51,0.9,2.41,1.47,Peers,2005Q2
16301,2005-09-30,12311,Huntington,248227,62194,24630239,0.34,1.02,2.99,2.79,Peers,2005Q3
16419,2005-09-30,30810,Discover,780512,669893,18480996,4.83,4.15,0.87,4.53,Non-Peers,2005Q3
16450,2005-09-30,35301,StateStreet,17606,0,5676444,0.0,0.22,,,Non-Peers,2005Q3
16606,2005-09-30,60143,Comerica,558396,87772,43322173,0.27,1.33,4.77,3.0,Peers,2005Q3
16703,2005-09-30,75633,BMO,306875,16142,21375592,0.1,1.38,14.26,2.15,BMO,2005Q3
16927,2005-09-30,112837,CapOne,402251,52023,16020041,0.43,2.45,5.8,3.88,Non-Peers,2005Q3
17522,2005-09-30,212465,MUFG,339976,-11832,31793797,-0.05,1.03,,12.16,Non-Peers,2005Q3
17634,2005-09-30,233031,Regions,783943,80209,52948924,0.2,1.34,7.33,1.99,Peers,2005Q3
17961,2005-09-30,280110,Key,1092089,152152,67667646,0.3,1.67,5.38,2.97,Peers,2005Q3
19002,2005-09-30,451965,Wells,2230000,504000,284270333,0.24,0.92,3.32,2.65,Non-Peers,2005Q3
19165,2005-09-30,476810,Citi,6621000,4164000,376523333,1.47,1.76,1.19,2.66,Non-Peers,2005Q3
19196,2005-09-30,480228,BAC,4966675,549739,468208548,0.16,0.96,6.78,3.26,Non-Peers,2005Q3
19299,2005-09-30,497404,TD,228334,10948,20189069,0.09,1.14,12.23,3.57,Non-Peers,2005Q3
19349,2005-09-30,504713,USBank,1903543,443512,129577162,0.46,1.43,3.22,3.7,Non-Peers,2005Q3
19560,2005-09-30,541101,BNY,557000,26000,30455667,0.11,1.62,16.07,6.05,Non-Peers,2005Q3
20372,2005-09-30,675332,SunTrust,1028564,148574,109106851,0.18,0.91,5.19,3.35,Peers,2005Q3
20649,2005-09-30,723112,FifthThird,367697,107163,34166715,0.42,1.08,2.57,2.74,Peers,2005Q3
21226,2005-09-30,817824,PNC,610423,6412,47006135,0.02,1.26,71.4,4.84,Peers,2005Q3
21447,2005-09-30,852218,JPMC,4895000,1061000,367353333,0.39,1.36,3.46,1.5,Non-Peers,2005Q3
21450,2005-09-30,852320,BBT,554254,90241,53382347,0.23,1.0,4.61,3.1,Non-Peers,2005Q3
22629,2005-09-30,1394676,AMEX,336281,216409,10364416,2.78,3.15,1.17,4.22,Non-Peers,2005Q3
22698,2005-09-30,1456501,MS,5387,-1,4602482,0.0,0.16,,,Non-Peers,2005Q3
24187,2005-09-30,3303298,Citizens,76240,12762,8103695,0.41,0.8,2.31,1.37,Peers,2005Q3
24379,2005-12-31,12311,Huntington,261026,79768,24760601,0.32,1.07,3.27,2.66,Peers,2005Q4
24497,2005-12-31,30810,Discover,794788,1011016,19088766,5.3,4.07,0.79,12.2,Non-Peers,2005Q4
24528,2005-12-31,35301,StateStreet,17591,0,5976756,0.0,0.27,,,Non-Peers,2005Q4
24684,2005-12-31,60143,Comerica,516086,109996,43803322,0.25,1.19,4.69,3.73,Peers,2005Q4
24780,2005-12-31,75633,BMO,317777,17238,21779379,0.08,1.38,18.43,2.31,BMO,2005Q4
25003,2005-12-31,112837,CapOne,214193,13286,16089177,0.66,1.31,2.03,2.03,Non-Peers,2005Q4
25594,2005-12-31,212465,MUFG,327148,-9694,32103533,-0.03,0.99,,6.31,Non-Peers,2005Q4
25704,2005-12-31,233031,Regions,783536,125404,55405481,0.23,1.34,6.25,2.21,Peers,2005Q4
26028,2005-12-31,280110,Key,965680,315594,68104401,0.46,1.46,3.06,3.39,Peers,2005Q4
27058,2005-12-31,451965,Wells,2122000,736000,286415000,0.26,0.83,2.88,2.67,Non-Peers,2005Q4
27219,2005-12-31,476810,Citi,6307000,5188000,378426500,1.37,1.63,1.22,2.66,Non-Peers,2005Q4
27250,2005-12-31,480228,BAC,4586074,787873,486598996,0.16,0.85,5.82,3.06,Non-Peers,2005Q4
27353,2005-12-31,497404,TD,223030,22252,20201392,0.13,1.11,8.4,3.68,Non-Peers,2005Q4
